Word,IPA,PartOfSpeech,Meaning,Level
ability, [əbíləti], 名詞, 能力, 5
accept, [əksépt], 動詞, 〜を受け入れる, 5
access, [ǽkses], 名詞/動詞, 利用権・接近（〜にアクセスする）, 5
account, [əkáunt], 名詞/動詞, 説明・口座（〜を説明する）, 5
accurate, [ǽkjərət], 形容詞, 正確な, 5
achieve, [ətʃíːv], 動詞, 〜を達成する, 5
activity, [æktívəti], 名詞, 活動, 5
additional, [ədíʃənl], 形容詞, 追加の, 5
admire, [ædmáiər], 動詞, 〜に感嘆する・〜を賞賛する, 5
admit, [ədmít], 動詞, 〜を認める, 5
adopt, [ədɑ́pt], 動詞, 〜を採用する・（養子を）引き取る, 5
advantage, [ædvǽntidʒ], 名詞, 利点・優位, 5
advise, [ædváiz], 動詞, 〜に助言する, 5
affect, [əfékt], 動詞, 〜に影響を与える, 5
afford, [əfɔ́ːrd], 動詞, 〜する余裕がある, 5
agree, [əgríː], 動詞, 同意する・賛成する, 5
allow, [əláu], 動詞, 〜を許可する・（〜するのを）可能にする, 5
amount, [əmáunt], 名詞/動詞, 量・総計（〜に達する）, 5
announce, [ənáuns], 動詞, 〜を発表する, 5
apparent, [əpǽrənt], 形容詞, 明白な・一見〜らしい, 5
appear, [əpíər], 動詞, 〜のように見える・現れる, 5
appreciate, [əpríːʃièit], 動詞, 〜を正当に評価する・〜に感謝する, 5
appropriate, [əpróupriət], 形容詞, 適切な, 5
approve, [əprúːv], 動詞, 〜に賛成する・〜を承認する, 5
area, [έəriə], 名詞, 地域・領域, 5
argue, [άːrgjuː], 動詞, 〜と主張する・議論する, 5
article, [άːrtikl], 名詞, 記事・品物, 5
aspect, [ǽspekt], 名詞, 側面・外観, 5
assume, [əsúːm], 動詞, 〜と仮定する・（責任などを）引き受ける, 5
attend, [əténd], 動詞, 〜に出席する・（注意を）払う, 5
attitude, [ǽtitjùːd], 名詞, 態度・考え方, 5
attract, [ətrǽkt], 動詞, 〜を引きつける, 5
audience, [ɔ́ːdiəns], 名詞, 聴衆・観客, 5
authority, [əθɔ́ːrəti], 名詞, 権威・当局, 5
available, [əvéiləbl], 形容詞, 利用可能な・入手可能な, 5
average, [ǽvəridʒ], 名詞/形容詞, 平均（の）, 5
base, [béis], 動詞/名詞, 〜の基礎を置く（土台）, 5
basis, [béisis], 名詞, 基礎・根拠, 5
behavior, [bihéivjər], 名詞, 行動・振る舞い, 5
believe, [bilíːv], 動詞, 〜を信じる・〜と思う, 5
belong, [bilɔ́ːŋ], 動詞, 属する, 5
benefit, [bénəfit], 名詞/動詞, 利益・恩恵（〜に利益を与える）, 5
bore, [bɔ́ːr], 動詞, 〜を退屈させる, 5
borrow, [bάrou], 動詞, 〜を借りる, 5
capacity, [kəpǽsəti], 名詞, 能力・収容力, 5
capital, [kǽpitl], 名詞/形容詞, 首都・資本（主要な）, 5
care, [kέər], 動詞/名詞, 気にかける（世話・注意）, 5
celebrate, [séləbrèit], 動詞, 〜を祝う, 5
challenge, [tʃǽlindʒ], 名詞/動詞, 課題・挑戦（〜に異議を唱える）, 5
character, [kǽriktər], 名詞, 性格・登場人物・文字, 5
choose, [tʃúːz], 動詞, 〜を選ぶ, 5
circumstance, [sə́ːrkəmstæ̀ns], 名詞, 状況・事情, 5
claim, [kléim], 動詞/名詞, 〜を主張する（主張・権利）, 5
comfort, [kʌ́mfərt], 名詞/動詞, 快適さ（〜を慰める）, 5
common, [kάmən], 形容詞, 共通の・一般的な, 5
communicate, [kəmjúːnəkèit], 動詞, 意思を通じ合わせる・〜を伝える, 5
communication, [kəmjùːnikéiʃən], 名詞, 意思疎通・通信, 5
community, [kəmjúːnəti], 名詞, 地域社会・共同体, 5
compare, [kəmpέər], 動詞, 〜を比較する, 5
competition, [kὰmpətíʃən], 名詞, 競争・競技会, 5
complain, [kəmpléin], 動詞, 不平を言う, 5
complete, [kəmplíːt], 動詞/形容詞, 〜を完成させる（完全な）, 5
complex, [kəmpléks], 形容詞/名詞, 複雑な・複合体, 5
concern, [kənsə́ːrn], 動詞/名詞, 〜に関係する・〜を心配させる（関心事）, 5
condition, [kəndíʃən], 名詞, 状態・条件, 5
confirm, [kənfə́ːrm], 動詞, 〜を確認する, 5
conflict,[kάnflikt],名詞,葛藤・衝突,5
conflict,[kənflíkt],動詞,衝突する,5
connect, [kənékt], 動詞, 〜をつなぐ, 5
consequence, [kάnsəkwèns], 名詞, 結果・影響, 5
consider, [kənsídər], 動詞, 〜をじっくり考える・検討する, 5
constant, [kάnstənt], 形容詞, 絶え間ない・一定の, 5
contact, [kάntækt], 名詞/動詞, 接触・連絡（〜と連絡を取る）, 5
contain, [kəntéin], 動詞, 〜を含む・収容する, 5
context, [kάntekst], 名詞, 文脈・状況, 5
contract,[kάntrækt],名詞,契約,5
contract,[kəntrǽkt],動詞,〜を契約する・収縮する,5
contribution, [kὰntribjúːʃən], 名詞, 貢献・寄付, 5
create, [kriéit], 動詞, 〜を創造する, 5
creature, [kríːtʃər], 名詞, 生き物, 5
critical, [krítikl], 形容詞, 批判的な・重大な, 5
culture, [kʌ́ltʃər], 名詞, 文化, 5
current, [kə́ːrənt], 形容詞/名詞, 現在の・流れ, 5
damage, [dǽmidʒ], 名詞/動詞, 損害（〜に損害を与える）, 5
data, [déitə], 名詞, 資料・データ, 5
degree, [digríː], 名詞, 程度・学位・度, 5
deliver, [dilívər], 動詞, 〜を配達する・（演説などを）する, 5
demand, [dimǽnd], 名詞/動詞, 需要・要求（〜を要求する）, 5
deny, [dinái], 動詞, 〜を否定する, 5
depend, [dipénd], 動詞, 〜に依存する・〜次第である, 5
describe, [diskráib], 動詞, 〜を描写する・説明する, 5
design, [dizáin], 動詞/名詞, 〜を設計する（設計・図案）, 5
destroy, [distrɔ́i], 動詞, 〜を破壊する, 5
determine, [ditə́ːrmin], 動詞, 〜を決定する・決心する, 5
device, [diváis], 名詞, 装置・工夫, 5
discover, [diskʌ́vər], 動詞, 〜を発見する, 5
discuss, [diskʌ́s], 動詞, 〜について話し合う, 5
distance, [dístəns], 名詞, 距離, 5
divide, [diváid], 動詞, 〜を分ける, 5
earn, [ə́ːrn], 動詞, 〜を稼ぐ・（名声などを）得る, 5
economic, [èkənάmik], 形容詞, 経済の, 5
educate, [édʒukèit], 動詞, 〜を教育する, 5
effort, [éfərt], 名詞, 努力, 5
efficient, [ifíʃənt], 形容詞, 効率的な, 5
emotion, [imóuʃən], 名詞, 感情, 5
employ, [implɔ́i], 動詞, 〜を雇う・〜を用いる, 5
encourage, [inkə́ːridʒ], 動詞, 〜を励ます・〜を促進する, 5
energy, [énərdʒi], 名詞, エネルギー・活力, 5
enjoy, [indʒɔ́i], 動詞, 〜を楽しむ, 5
entire, [intáiər], 形容詞, 全体の, 5
environment, [inváiərənmənt], 名詞, 環境, 5
error, [érər], 名詞, 誤り, 5
essential, [isénʃəl], 形容詞, 不可欠な・極めて重要な, 5
evidence, [évidəns], 名詞, 証拠, 5
examine, [igzǽmin], 動詞, 〜を調査する・〜を診察する, 5
exchange, [ikstʃéindʒ], 動詞/名詞, 〜を交換する（交換）, 5
exist, [igzíst], 動詞, 存在する, 5
expect, [ikspékt], 動詞, 〜を予期する・期待する, 5
experience, [ikspíəriəns], 名詞/動詞, 経験（〜を経験する）, 5
external, [ikstə́ːrnl], 形容詞, 外部の, 5
facility, [fəsíləti], 名詞, 施設・設備・器用さ, 5
factor, [fǽktər], 名詞, 要因・要素, 5
fail, [féil], 動詞, 失敗する・（試験に）落ちる, 5
familiar, [fəmíljər], 形容詞, よく知られた・親しい, 5
fear, [fíər], 名詞/動詞, 恐怖（〜を恐れる）, 5
feature, [fíːtʃər], 名詞/動詞, 特徴（〜を特徴にする）, 5
feed, [fíːd], 動詞, 〜に食べ物を与える, 5
fill, [fíl], 動詞, 〜を満たす, 5
finish, [fíniʃ], 動詞, 〜を終える, 5
fit, [fít], 動詞/形容詞, 〜に合う（適した）, 5
follow, [fάlou], 動詞, 〜に続く・〜に従う, 5
force, [fɔ́ːrs], 動詞/名詞, 〜を強いる（力）, 5
forget, [fərgét], 動詞, 〜を忘れる, 5
function, [fʌ́ŋkʃən], 名詞/動詞, 機能（機能する）, 5
fundamental, [fʌ̀ndəméntl], 形容詞, 根本的な, 5
gain, [géin], 動詞/名詞, 〜を得る（利益）, 5
gather, [gǽðər], 動詞, 〜を集める・集まる, 5
global, [glóubəl], 形容詞, 地球全体の・世界的な, 5
goal, [góul], 名詞, 目標, 5
government, [gʌ́vərnmənt], 名詞, 政府, 5
graduate, [grǽdʒuèit], 動詞/名詞, 卒業する（卒業生）, 5
guess, [gés], 動詞/名詞, 〜を推測する（推測）, 5
habit, [hǽbit], 名詞, 習慣, 5
handle, [hǽndl], 動詞/名詞, 〜を扱う（取っ手）, 5
happen, [hǽpən], 動詞, （事が）起こる, 5
hate, [héit], 動詞, 〜を嫌う, 5
hide, [háid], 動詞, 〜を隠す・隠れる, 5
hope, [hóup], 動詞/名詞, 〜を望む（希望）, 5
hurt, [hə́ːrt], 動詞, 〜を傷つける・痛む, 5
identify, [aidéntəfài], 動詞, 〜を特定する・確認する, 5
ignore, [ignɔ́ːr], 動詞, 〜を無視する, 5
imagine, [imǽdʒin], 動詞, 〜を想像する, 5
impact, [ímpækt], 名詞/動詞, 影響・衝撃（〜に影響を与える）, 5
import,[ímpɔːrt],名詞,輸入,5
import,[impɔ́ːrt],動詞,〜を輸入する,5
impress, [imprés], 動詞, 〜を感動させる, 5
improve, [imprúːv], 動詞, 〜を向上させる・改善する, 5
increase, [inkríːs], 動詞/名詞, 増加する・〜を増やす（増加）, 5
indicate, [índikèit], 動詞, 〜を指し示す・示す, 5
individual, [ìndivídʒuəl], 名詞/形容詞, 個人（の）・個々の, 5
inform, [infɔ́ːrm], 動詞, 〜に知らせる, 5
insist, [insíst], 動詞, 主張する・言い張る, 5
instance, [ínstəns], 名詞, 例・実例, 5
institution, [ìnstətjúːʃən], 名詞, 機関・制度, 5
intend, [inténd], 動詞, 〜するつもりである, 5
interest, [íntərist], 名詞/動詞, 興味・利害（〜に興味を持たせる）, 5
internal, [intə́ːrnl], 形容詞, 内部の, 5
introduce, [ìntrədjúːs], 動詞, 〜を紹介する・〜を導入する, 5
invent, [invént], 動詞, 〜を発明する, 5
invite, [inváit], 動詞, 〜を招待する, 5
involve, [invάlv], 動詞, 〜を巻き込む・含む, 5
issue, [íʃuː], 名詞/動詞, 問題（点）・発行（〜を発行する）, 5
item, [áitəm], 名詞, 項目・品目, 5
join, [dʒɔ́in], 動詞, 〜に加わる・〜をつなぐ, 5
judge, [dʒʌ́dʒ], 動詞/名詞, 〜を判断する（裁判官）, 5
keep, [kíːp], 動詞, 〜を持ち続ける・〜をある状態に保つ, 5
kill, [kíl], 動詞, 〜を殺す, 5
knock, [nάk], 動詞, ノックする・〜をぶつける, 5
knowledge, [nάlidʒ], 名詞, 知識, 5
laugh, [lǽf], 動詞, 笑う, 5
lead, [líːd], 動詞/名詞, 〜を導く（先導）, 5
learn, [lə́ːrn], 動詞, 〜を学ぶ・〜を知る, 5
leave, [líːv], 動詞, 〜を去る・〜を置き忘れる・〜をそのままにする, 5
lend, [lénd], 動詞, 〜を貸す, 5
likely, [láikli], 形容詞/副詞, 〜しそうな・おそらく, 5
listen, [lísn], 動詞, （意識して）聞く, 5
live, [lív], 動詞, 住む・生きる, 5
look, [lúk], 動詞, 見る・〜のように見える, 5
lose, [lúːz], 動詞, 〜を失う・（試合などに）負ける, 5
love, [lʌ́v], 動詞/名詞, 〜を愛する（愛）, 5
maintain, [meintéin], 動詞, 〜を維持する・主張する, 5
major, [méidʒər], 形容詞/動詞, 主要な・専攻する, 5
manage, [mǽnidʒ], 動詞, 〜を何とかやり遂げる・〜を管理する, 5
marry, [mǽri], 動詞, 〜と結婚する, 5
matter, [mǽtər], 動詞/名詞, 重要である（問題・事柄）, 5
mean, [míːn], 動詞/形容詞, 〜を意味する（意地悪な）, 5
measure, [méʒər], 動詞/名詞, 〜を測る（対策・手段）, 5
mental, [méntl], 形容詞, 精神の, 5
mention, [ménʃən], 動詞, 〜に言及する, 5
method, [méθəd], 名詞, 方法, 5
miss, [mís], 動詞, 〜を逃す・〜がいなくて寂しく思う, 5
move, [múːv], 動詞/名詞, 動く・〜を動かす・引っ越す（動き）, 5
nature, [néitʃər], 名詞, 自然・性質, 5
negative, [négətiv], 形容詞, 否定的な・消極的な, 5
notice, [nóutis], 動詞/名詞, 〜に気づく（通知・掲示）, 5
object,[άbdʒekt],名詞,物体・目的,5
object,[əbdʒékt],動詞,〜に反対する,5
observe, [əbzə́ːrv], 動詞, 〜に気づく・〜を観察する・（規則などを）守る, 5
obtain, [əbtéin], 動詞, 〜を得る, 5
offer, [ɔ́ːfər], 動詞/名詞, 〜を申し出る・提供する（申し出）, 5
opportunity, [ὰpərtjúːnəti], 名詞, 機会・チャンス, 5
order, [ɔ́ːrdər], 名詞/動詞, 順序・秩序・命令（〜を注文する・命令する）, 5
own, [óun], 動詞/形容詞, 〜を所有している（自分自身の）, 5
particular, [pərtíkjulər], 形容詞, 特定の・特別な, 5
pass, [pǽs], 動詞, 〜を通り過ぎる・（試験に）合格する・〜を渡す, 5
pay, [péi], 動詞/名詞, 〜を支払う（給料）, 5
perform, [pərfɔ́ːrm], 動詞, 〜を遂行する・演じる, 5
period, [píəriəd], 名詞, 期間・時代, 5
physical, [fízikəl], 形容詞, 身体の・物理的な, 5
pick, [pík], 動詞, 〜を選ぶ・〜を摘む, 5
plan, [plǽn], 動詞/名詞, 〜を計画する（計画）, 5
plant, [plǽnt], 名詞/動詞, 植物・工場（〜を植える）, 5
play, [pléi], 動詞, 遊ぶ・（楽器を）演奏する・（スポーツを）する, 5
policy, [pάləsi], 名詞, 政策・方針, 5
positive, [pάzətiv], 形容詞, 肯定的な・積極的な, 5
potential, [pouténʃəl], 形容詞/名詞, 潜在的な（可能性）, 5
practical, [prǽktikl], 形容詞, 実用的な, 5
prepare, [pripέər], 動詞, 〜を準備する, 5
prevent, [privént], 動詞, 〜を妨げる・防ぐ, 5
previous, [príːviəs], 形容詞, 前の・以前の, 5
process, [prάses], 名詞/動詞, 過程・プロセス（〜を処理する）, 5
produce, [prədʒúːs], 動詞, 〜を生産する・引き起こす, 5
promise, [prάmis], 動詞/名詞, 〜を約束する（約束）, 5
protect, [prətékt], 動詞, 〜を保護する, 5
prove, [prúːv], 動詞, 〜を証明する・〜だとわかる, 5
provide, [prəváid], 動詞, 〜を提供する・供給する, 5
public, [pʌ́blik], 形容詞/名詞, 公の・公共の（大衆）, 5
publish, [pʌ́bliʃ], 動詞, 〜を出版する・〜を発表する, 5
pull, [púl], 動詞, 〜を引く, 5
push, [púʃ], 動詞, 〜を押す, 5
quality, [kwάləti], 名詞, 質, 5
raise, [réiz], 動詞, 〜を上げる・（子供を）育てる, 5
range, [réindʒ], 名詞/動詞, 範囲（〜に及ぶ）, 5
reach, [ríːtʃ], 動詞, 〜に到着する・〜に手が届く, 5
read, [ríːd], 動詞, 〜を読む, 5
realize, [ríːəlàiz], 動詞, 〜を悟る・実現する, 5
reason, [ríːzn], 名詞/動詞, 理由・理性（〜を論じる）, 5
receive, [risíːv], 動詞, 〜を受け取る, 5
recognize, [rékəgnàiz], 動詞, 〜を認める・識別する, 5
record,[rékərd],名詞,記録,5
record,[rikɔ́ːrd],動詞,〜を記録する,5
reduce, [ridʒúːs], 動詞, 〜を減らす・削減する, 5
refer, [rifə́ːr], 動詞, 〜に言及する・〜を参照する, 5
reflect, [riflékt], 動詞, 〜を反映する・反射する・熟考する, 5
refuse, [rifjúːz], 動詞, 〜を拒む, 5
regard, [rigάːrd], 動詞/名詞, 〜を（…と）みなす（配慮）, 5
relationship, [riléiʃənʃìp], 名詞, 関係, 5
relative, [rélətiv], 形容詞/名詞, 相対的な（親戚）, 5
relax, [rilǽks], 動詞, くつろぐ・〜を緩める, 5
relevant, [réləvənt], 形容詞, 関連のある, 5
remain, [riméin], 動詞, 〜のままでいる・残る, 5
remember, [rimémbər], 動詞, 〜を覚えている・〜を思い出す, 5
remind, [rimáind], 動詞, 〜に思いださせる, 5
repair, [ripέər], 動詞/名詞, 〜を修理する（修理）, 5
repeat, [ripíːt], 動詞, 〜を繰り返す, 5
replace, [ripléis], 動詞, 〜に取って代わる・〜を取り替える, 5
report, [ripɔ́ːrt], 動詞/名詞, 〜を報告する（報告書）, 5
represent, [rèprizént], 動詞, 〜を表す・代表する, 5
request, [rikwést], 名詞/動詞, 要請（〜を要請する）, 5
require, [rikwáiər], 動詞, 〜を必要とする・要求する, 5
research, [risə́ːrtʃ], 名詞/動詞, 研究・調査（〜を研究する）, 5
resource, [ríːsɔːrs], 名詞, 資源・財源, 5
respect, [rispékt], 動詞/名詞, 〜を尊敬する（尊敬・点）, 5
respond, [rispάnd], 動詞, 反応する・答える, 5
responsible, [rispάnsəbl], 形容詞, 責任がある, 5
result, [rizʌ́lt], 名詞/動詞, 結果（〜という結果になる）, 5
return, [ritə́ːrn], 動詞/名詞, 戻る・〜を返す（戻ること）, 5
reveal, [rivíːl], 動詞, 〜を明らかにする・示す, 5
ride, [ráid], 動詞, （乗り物に）乗る, 5
rise, [ráiz], 動詞/名詞, 上がる・昇る（上昇）, 5
role, [róul], 名詞, 役割, 5
rule, [rúːl], 名詞/動詞, 規則（〜を支配する）, 5
save, [séiv], 動詞, 〜を救う・〜を蓄える・〜を省く, 5
search, [sə́ːrtʃ], 動詞/名詞, 〜を捜す（捜索）, 5
seek, [síːk], 動詞, 〜を追い求める, 5
sell, [sél], 動詞, 〜を売る, 5
send, [sénd], 動詞, 〜を送る, 5
separate, [sépərèit], 形容詞/動詞, 離れた（〜を分ける）, 5
serve, [sə́ːrv], 動詞, （食事などを）出す・〜に役立つ, 5
set, [sét], 動詞/名詞, 〜を置く・〜を設定する（一式）, 5
shake, [ʃéik], 動詞, 〜を振る・揺れる, 5
share, [ʃέər], 動詞/名詞, 〜を共有する（分担・割り当て）, 5
shout, [ʃáut], 動詞, 叫ぶ, 5
show, [ʃóu], 動詞/名詞, 〜を見せる・示す（ショー）, 5
shut, [ʃʌ́t], 動詞, 〜を閉める, 5
significant, [signífikənt], 形容詞, 重要な・かなりの, 5
sing, [síŋ], 動詞, 歌う, 5
sit, [sít], 動詞, 座る, 5
sleep, [slíːp], 動詞/名詞, 眠る（睡眠）, 5
smile, [smáil], 動詞/名詞, 微笑む（微笑み）, 5
social, [sóuʃəl], 形容詞, 社会的な, 5
society, [səsáiəti], 名詞, 社会, 5
solve, [sάlv], 動詞, 〜を解決する, 5
source, [sɔ́ːrs], 名詞, 源・情報源, 5
speak, [spíːk], 動詞, 話す, 5
specific, [spisífik], 形容詞, 特定の・明確な, 5
spend, [spénd], 動詞, （お金・時間を）費やす, 5
spread, [spréd], 動詞/名詞, 広がる・〜を広げる（広がり）, 5
stable, [stéibl], 形容詞, 安定した, 5
standard, [stǽndərd], 形容詞/名詞, 標準的な（基準）, 5
stand, [stǽnd], 動詞, 立つ・〜を我慢する, 5
start, [stάːrt], 動詞/名詞, 始まる・〜を始める（開始）, 5
stay, [stéi], 動詞/名詞, 滞在する・〜のままでいる（滞在）, 5
stop, [stάp], 動詞/名詞, 止まる・〜を止める（停留所）, 5
strike, [stráik], 動詞/名詞, 〜を打つ・（考えなどが）〜に浮かぶ（ストライキ）, 5
structure, [strʌ́ktʃər], 名詞, 構造, 5
suffer, [sʌ́fər], 動詞, 〜を経験する・（苦痛などを）受ける, 5
suggest, [səgdʒést], 動詞, 〜を提案する・暗示する, 5
support, [səpɔ́ːrt], 動詞/名詞, 〜を支持する・支える（支持）, 5
suppose, [səpóuz], 動詞, 〜と思う・仮定する, 5
technology, [teknάlədʒi], 名詞, 科学技術・テクノロジー, 5
tend, [ténd], 動詞, 〜する傾向がある, 5
theory, [θíːəri], 名詞, 理論・学説, 5
threat, [θrét], 名詞, 脅威, 5
treat, [tríːt], 動詞, 〜を扱う・治療する, 5
value, [vǽljuː], 名詞/動詞, 価値（〜を重んじる）, 5
various, [véəriəs], 形容詞, さまざまな, 5
variety, [vəráiəti], 名詞, 多様性・種類, 5
view, [vjúː], 名詞/動詞, 見方・意見（〜を見る）, 5
waste, [wéist], 名詞/動詞, 無駄・廃棄物（〜を無駄にする）, 5